filename,title,youtube_id,category,confidence_basis,reason,cospeakers,topics,char_count,word_count
DIABETES AND HYPER THYROID - DR. JOEL WALLACH-e4V4miCUvJs.en.vtt,DIABETES AND HYPER THYROID - DR. JOEL WALLACH,e4V4miCUvJs,High,filename,Wallach named in title,,minerals; selenium; chromium; diabetes; obesity; cardiovascular; kidney; liver; thyroid; diet/nutrition; gluten; skin/hair; brain/cognitive; youngevity-product,4915,893
DIABETES AND NUMBNESS - DR. JOEL WALLACH-mZ3jGwWjLPk.en.vtt,DIABETES AND NUMBNESS - DR. JOEL WALLACH,mZ3jGwWjLPk,High,filename,Wallach named in title,,diabetes; cardiovascular; gluten; brain/cognitive; longevity,5624,1095
DIABETES DISEASE BY DR. JOEL WALLACH-uR7NAiXAmRM.en.vtt,DIABETES DISEASE BY DR. JOEL WALLACH,uR7NAiXAmRM,High,filename,Wallach named in title,,minerals; diabetes; cardiovascular; youngevity-product,4631,856
DIABETIC WITH HIGH BLOOD PRESSURE - DR. JOEL WALLACH-wZF87O1qGTE.en.vtt,DIABETIC WITH HIGH BLOOD PRESSURE - DR. JOEL WALLACH,wZF87O1qGTE,High,filename,Wallach named in title,,diabetes; cardiovascular; gluten; brain/cognitive,1736,339
DR. JOEL WALLACH  YOUNGEVITY -  THE LAST 20 YEARS-EDk_73smvXc.en.vtt,DR. JOEL WALLACH  YOUNGEVITY -  THE LAST 20 YEARS,EDk_73smvXc,High,filename,Wallach named in title,,cardiovascular; muscles; youngevity-product,21764,4174
Daily With Doc & Becca - Dr. Joel Wallach & Becca  Live Stream-Rz7fP1BBBDs.en.vtt,Daily With Doc & Becca - Dr. Joel Wallach & Becca  Live Stream,Rz7fP1BBBDs,High,filename,Wallach named in title,,minerals; diet/nutrition; lecture-flagship; anti-mainstream,56793,10444
Daily With Doc & Becca - Dr. Joel Wallach & Becca  Live Stream-g_nZvZSlsOo.en.vtt,Daily With Doc & Becca - Dr. Joel Wallach & Becca  Live Stream,g_nZvZSlsOo,High,filename,Wallach named in title,,,51228,9544
DailywithDoc & Becca Present： Dead Doctor's Don't Lie  2⧸12⧸24-eT0WGYPRmQM.en.vtt,DailywithDoc & Becca Present： Dead Doctor's Don't Lie  2⧸12⧸24,eT0WGYPRmQM,Low,filename,No speaker cue in title,,minerals; diet/nutrition,86088,16491
Dead Athletes Don't Lie   Dr  Joel Wallach-Fo7M_YQk8Bo.en.vtt,Dead Athletes Don't Lie   Dr  Joel Wallach,Fo7M_YQk8Bo,High,filename,Wallach named in title,,minerals; calcium; arthritis; cardiovascular; kidney; salt; skin/hair; longevity,58308,11087
Dead Doctors Don t Lie Original Version-aUvMnebu2XQ.en.vtt,Dead Doctors Don t Lie Original Version,aUvMnebu2XQ,High,filename,Known Wallach show/lecture,,minerals; diabetes; cancer; cardiovascular; diet/nutrition; lecture-flagship,74421,14185
"Dead Doctors Don't Lie (FULL LENGTH ORIGINAL!) - Dr. Joel Wallach 1994 - Kansas City, MO-u8aG4XmD13A.en.vtt","Dead Doctors Don't Lie (FULL LENGTH ORIGINAL!) - Dr. Joel Wallach 1994 - Kansas City, MO",u8aG4XmD13A,High,filename,Wallach named in title,,minerals; diet/nutrition; longevity; lecture-flagship,75569,14267
Dead Doctors Don't Lie (Original Audio)-xL4yOE033mU.en.vtt,Dead Doctors Don't Lie (Original Audio),xL4yOE033mU,High,filename,Known Wallach show/lecture,,minerals; diet/nutrition; longevity; lecture-flagship,75902,14069
Dead Doctors Don't Lie - Dr. Joel D. Wallach Audiobook-mRXExSbmwpk.en.vtt,Dead Doctors Don't Lie - Dr. Joel D. Wallach Audiobook,mRXExSbmwpk,High,filename,Wallach named in title,,minerals; diet/nutrition; lecture-flagship,110620,20890
Dead Doctors Don't Lie - Dr. Joel D. Wallach with Jeff Davis-nAwP6f7qGTY.en.vtt,Dead Doctors Don't Lie - Dr. Joel D. Wallach with Jeff Davis,nAwP6f7qGTY,High,filename,Wallach named in title,,minerals; calcium; arthritis; diet/nutrition; bones/joints; longevity; lecture-flagship,10852,1979
Dead Doctors Don't Lie - LOST VIDEO VERSION - Dr. Joel Wallach old lecture-GIxmRlqv3zQ.en.vtt,Dead Doctors Don't Lie - LOST VIDEO VERSION - Dr. Joel Wallach old lecture,GIxmRlqv3zQ,High,filename,Wallach named in title,,minerals; selenium; copper; zinc; arthritis; liver; diet/nutrition; lecture-flagship,146915,27243
Dead Doctors Don't Lie 2017⧸04⧸18-iO6Yxg-ovLg.en.vtt,Dead Doctors Don't Lie 2017⧸04⧸18,iO6Yxg-ovLg,High,filename,Known Wallach show/lecture,,minerals; muscles; lecture-flagship,46360,8684
Dead Doctors Don't Lie 2017⧸09⧸27-sgdzTkSk91I.en.vtt,Dead Doctors Don't Lie 2017⧸09⧸27,sgdzTkSk91I,High,filename,Known Wallach show/lecture,,minerals; brain/cognitive; longevity; lecture-flagship,47092,8694
Dead Doctors Don't Lie Radio 1⧸12⧸2021-Jh_pEBu4vH4.en.vtt,Dead Doctors Don't Lie Radio 1⧸12⧸2021,Jh_pEBu4vH4,High,filename,Known Wallach show/lecture,,diet/nutrition; gluten; longevity; lecture-flagship,43310,7971
Dead Doctors Don't Lie Radio 3⧸02⧸2021-OPDi6SCuZu4.en.vtt,Dead Doctors Don't Lie Radio 3⧸02⧸2021,OPDi6SCuZu4,High,filename,Known Wallach show/lecture,,minerals; diabetes; obesity; arthritis; cardiovascular; kidney; diet/nutrition; gluten; bones/joints; longevity; lecture-flagship; anti-mainstream,44796,8380
Dead Doctors Don't Lie Radio 5⧸06⧸2021-zaYKjRYSgj4.en.vtt,Dead Doctors Don't Lie Radio 5⧸06⧸2021,zaYKjRYSgj4,High,filename,Known Wallach show/lecture,,minerals; gluten; longevity; lecture-flagship,28494,5339
Dead Doctors Don't Lie Radio 5⧸24⧸2021-pZUTWbxdhPo.en.vtt,Dead Doctors Don't Lie Radio 5⧸24⧸2021,pZUTWbxdhPo,High,filename,Known Wallach show/lecture,,lecture-flagship,43508,8083
Dead Doctors Don't Lie Radio 6⧸28⧸2019-VpkqLEJrAU8.en.vtt,Dead Doctors Don't Lie Radio 6⧸28⧸2019,VpkqLEJrAU8,High,filename,Known Wallach show/lecture,,minerals; youngevity-product; lecture-flagship,45371,8293
Dead Doctors Don't Lie Radio 7⧸12⧸2021-V1oriyMhoh4.en.vtt,Dead Doctors Don't Lie Radio 7⧸12⧸2021,V1oriyMhoh4,High,filename,Known Wallach show/lecture,,diet/nutrition; gluten; longevity; lecture-flagship,43696,8002
Dead Doctors Don't Lie Radio 9⧸01⧸2021-V6kFqa08UpA.en.vtt,Dead Doctors Don't Lie Radio 9⧸01⧸2021,V6kFqa08UpA,High,filename,Known Wallach show/lecture,,minerals; diet/nutrition; lecture-flagship,46089,8396
Dead Doctors Don't Lie by Dr. Joel Wallach-t1V2CQZPTb4.en.vtt,Dead Doctors Don't Lie by Dr. Joel Wallach,t1V2CQZPTb4,High,filename,Wallach named in title,,minerals; diabetes; obesity; arthritis; cardiovascular; diet/nutrition; longevity; pregnancy/birth; lecture-flagship,144511,27029
Dead Doctors Don't Lie with Dr Joel Wallach 2011-HNO2vs9Qf04.en.vtt,Dead Doctors Don't Lie with Dr Joel Wallach 2011,HNO2vs9Qf04,High,filename,Wallach named in title,,minerals; lecture-flagship,142530,27045
Dead Doctors Don't Lie--123 MightyNinety-h1RKOYkB9dU.en.vtt,Dead Doctors Don't Lie--123 MightyNinety,h1RKOYkB9dU,High,filename,Known Wallach show/lecture,,minerals; diet/nutrition; skin/hair; bones/joints; youngevity-product; lecture-flagship,14343,2627
Dead Doctors Don't Lie-qetllQ8ymMc.en.vtt,Dead Doctors Don't Lie,qetllQ8ymMc,High,filename,Known Wallach show/lecture,,minerals; diet/nutrition; skin/hair; bones/joints; lecture-flagship,85436,15228
Dead Doctors Don’t Lie by Dr. Joel Wallach ｜ My Honest Review & Key Takeaways-QHo48l0GjIA.en.vtt,Dead Doctors Don’t Lie by Dr. Joel Wallach ｜ My Honest Review & Key Takeaways,QHo48l0GjIA,High,filename,Wallach named in title,,minerals; selenium; autism/adhd; lecture-flagship,15072,2834
Deadly Recipe - UNCUT FULL - Dr. Wallach Original Lecture-5wIxFu32Clc.en.vtt,Deadly Recipe - UNCUT FULL - Dr. Wallach Original Lecture,5wIxFu32Clc,High,filename,Wallach named in title,,osteoporosis; alzheimers; thyroid; diet/nutrition; longevity,84014,15286
Death By Doctor-yvohFl3dIxo.en.vtt,Death By Doctor,yvohFl3dIxo,High,content-peek,Strong Wallach cues (3),,diabetes; cancer; cardiovascular; brain/cognitive; longevity; anti-mainstream,5035,911
Dibetes-_bZgXV90MtQ.en.vtt,Dibetes,_bZgXV90MtQ,High,content-peek,Strong Wallach cues (4),,minerals; diabetes; cardiovascular; diet/nutrition; longevity,2865,577
Dr  Joel Wallach   Dead Doctors Don't Lie   Arthritis-I5Uczo9R6Pg.en.vtt,Dr  Joel Wallach   Dead Doctors Don't Lie   Arthritis,I5Uczo9R6Pg,High,filename,Wallach named in title,,calcium; obesity; arthritis; osteoporosis; diet/nutrition; skin/hair; bones/joints; lecture-flagship,2539,450
Dr  Joel Wallach   Dead Doctors Don't Lie   Athletes-HcU6ZoJfr6g.en.vtt,Dr  Joel Wallach   Dead Doctors Don't Lie   Athletes,HcU6ZoJfr6g,High,filename,Wallach named in title,,minerals; selenium; copper; calcium; magnesium; zinc; chromium; diabetes; arthritis; osteoporosis; cardiovascular; liver; skin/hair; bones/joints; muscles; lecture-flagship,2564,459
Dr  Joel Wallach   Dead Doctors Don't Lie   Cholesterol   Heart Disease-rbefWCqJu2Y.en.vtt,Dr  Joel Wallach   Dead Doctors Don't Lie   Cholesterol   Heart Disease,rbefWCqJu2Y,High,filename,Wallach named in title,,chromium; diabetes; cancer; cardiovascular; liver; thyroid; cholesterol; diet/nutrition; skin/hair; longevity; lecture-flagship,3092,546
Dr  Joel Wallach Tell's The Truth About Mainstream Medicine  (Public Enemy No  1) Youngevity-Zd498XR8TEM.en.vtt,Dr  Joel Wallach Tell's The Truth About Mainstream Medicine  (Public Enemy No  1) Youngevity,Zd498XR8TEM,High,filename,Wallach named in title,,minerals; obesity; diet/nutrition; pregnancy/birth; youngevity-product; lecture-flagship; anti-mainstream,73026,13508
Dr  Joel Wallach's Biography-ukjnMxlYzII.en.vtt,Dr  Joel Wallach's Biography,ukjnMxlYzII,High,filename,Wallach named in title,,minerals; selenium; arthritis; cardiovascular; diet/nutrition; longevity; pregnancy/birth,14504,2354
Dr  Wallach's Famous Full Length ＂Dead Doctors Don't Lie＂ Lecture-lOyYCSz14As.en.vtt,Dr  Wallach's Famous Full Length ＂Dead Doctors Don't Lie＂ Lecture,lOyYCSz14As,High,filename,Wallach named in title,,diabetes; arthritis; youngevity-product; lecture-flagship,142576,26625
Dr Joel Wallach on living healthy past 100! LFHC Ketosis & Essential Nutrition Youngevity-GGbt7JiH-Eg.en.vtt,Dr Joel Wallach on living healthy past 100! LFHC Ketosis & Essential Nutrition Youngevity,GGbt7JiH-Eg,High,filename,Wallach named in title,,minerals; diet/nutrition; longevity; youngevity-product,81559,15387
Dr Joel Wallach on obestity-fjoeqrxeg64.en.vtt,Dr Joel Wallach on obestity,fjoeqrxeg64,High,filename,Wallach named in title,,minerals; diabetes; obesity; cardiovascular; diet/nutrition; longevity; youngevity-product; anti-mainstream,4588,856
Dr Joel Wallach： Dead Doctors Don't Lie 11⧸14⧸18-rQpyECReSV8.en.vtt,Dr Joel Wallach： Dead Doctors Don't Lie 11⧸14⧸18,rQpyECReSV8,High,filename,Wallach named in title,,diabetes; cardiovascular; longevity; lecture-flagship; anti-mainstream,46050,8495
Dr Wallach's Famous New and Improved ＂Dead Doctors Don't Lie Lecture＂-4zsfxKMotfo.en.vtt,Dr Wallach's Famous New and Improved ＂Dead Doctors Don't Lie Lecture＂,4zsfxKMotfo,High,filename,Wallach named in title,,energy/fatigue; lecture-flagship,132577,24455
Dr Wallach： Somebody Needs To Go To Jail - Part 1-cZUW_msobAs.en.vtt,Dr Wallach： Somebody Needs To Go To Jail - Part 1,cZUW_msobAs,High,filename,Wallach named in title,,longevity; youngevity-product; lecture-flagship; anti-mainstream,62399,11364
Dr Wallach： Somebody Needs To Go To Jail - Part 2-t7UtZ--Tk2U.en.vtt,Dr Wallach： Somebody Needs To Go To Jail - Part 2,t7UtZ--Tk2U,High,filename,Wallach named in title,,minerals; selenium; cardiovascular; bones/joints; muscles; longevity; lecture-flagship; anti-mainstream,66627,11982
Dr. Glidden -Truth about Arthritis⧸Bone and Joint Problems-DlpsmYd31j0.en.vtt,Dr. Glidden -Truth about Arthritis⧸Bone and Joint Problems,DlpsmYd31j0,Exclude,filename,Dr. Peter Glidden solo content,Dr. Peter Glidden,arthritis; bones/joints; longevity,35917,6537
Dr. Glidden-Diabetes type II ; Chromium & Vanadium-FoHB6Cvfliw.en.vtt,Dr. Glidden-Diabetes type II ; Chromium & Vanadium,FoHB6Cvfliw,Exclude,filename,Dr. Peter Glidden solo content,Dr. Peter Glidden,minerals; chromium; vanadium; diabetes; liver; cholesterol; longevity,6812,1232
Dr. Joanne Conaway： Pulls Back The Curtain On： “The Full Moon Cleanse!” DWD 1.14.26--1FR4-R-bnA.en.vtt,Dr. Joanne Conaway： Pulls Back The Curtain On： “The Full Moon Cleanse!” DWD 1.14.26,-1FR4-R-bnA,Exclude,filename,Primary speaker: Dr. Joanne Conaway,Dr. Joanne Conaway,,51404,9406
"Dr. Joel Wallach - Alkaline Water, Salt, Calcium & Evander Holyfield-GyeziGzMOfA.en.vtt","Dr. Joel Wallach - Alkaline Water, Salt, Calcium & Evander Holyfield",GyeziGzMOfA,High,filename,Wallach named in title,,calcium; diet/nutrition; gluten; salt; lung/respiratory; skin/hair; longevity,56047,10685
Dr. Joel Wallach - Arthritis And Osteoporosis - Ask Doc Live 8⧸12⧸2022-p_yzombtiAI.en.vtt,Dr. Joel Wallach - Arthritis And Osteoporosis - Ask Doc Live 8⧸12⧸2022,p_yzombtiAI,High,filename,Wallach named in title,,arthritis; osteoporosis; diet/nutrition; skin/hair; pregnancy/birth,96791,18698
Dr. Joel Wallach - Ask Doc Live 10⧸15⧸2021-Vw_PHWXsWOo.en.vtt,Dr. Joel Wallach - Ask Doc Live 10⧸15⧸2021,Vw_PHWXsWOo,High,filename,Wallach named in title,,diet/nutrition,101155,19687
Dr. Joel Wallach - Ask Doc Live 10⧸22⧸2021-zVdJioL7tOk.en.vtt,Dr. Joel Wallach - Ask Doc Live 10⧸22⧸2021,zVdJioL7tOk,High,filename,Wallach named in title,,diet/nutrition,100834,19675
Dr. Joel Wallach - Ask Doc Live 10⧸29⧸2021-Xt7Faak-x-Q.en.vtt,Dr. Joel Wallach - Ask Doc Live 10⧸29⧸2021,Xt7Faak-x-Q,High,filename,Wallach named in title,,diet/nutrition,102704,19809
Dr. Joel Wallach - Ask Doc Live 1⧸28⧸2022-41ohzGpdOe4.en.vtt,Dr. Joel Wallach - Ask Doc Live 1⧸28⧸2022,41ohzGpdOe4,High,filename,Wallach named in title,,diet/nutrition,102357,19801
Dr. Joel Wallach - Ask Doc Live 1⧸29⧸2021-Nsqw9wbpOjQ.en.vtt,Dr. Joel Wallach - Ask Doc Live 1⧸29⧸2021,Nsqw9wbpOjQ,High,filename,Wallach named in title,,obesity; diet/nutrition,102495,19911
Dr. Joel Wallach - Ask Doc Live 3⧸17⧸2022-9k44rA2JZME.en.vtt,Dr. Joel Wallach - Ask Doc Live 3⧸17⧸2022,9k44rA2JZME,High,filename,Wallach named in title,,diet/nutrition,103618,20112
Dr. Joel Wallach - Ask Doc Live 4⧸08⧸2022-ikMUffJ34I4.en.vtt,Dr. Joel Wallach - Ask Doc Live 4⧸08⧸2022,ikMUffJ34I4,High,filename,Wallach named in title,,minerals; diabetes; obesity; arthritis; osteoporosis; alzheimers; cardiovascular; kidney; parkinsons; diet/nutrition; brain/cognitive,101275,19791
Dr. Joel Wallach - Ask Doc Live 4⧸22⧸2022-GT5-VtzpWHI.en.vtt,Dr. Joel Wallach - Ask Doc Live 4⧸22⧸2022,GT5-VtzpWHI,High,filename,Wallach named in title,,diet/nutrition,104015,20363
Dr. Joel Wallach - Ask Doc Live 4⧸23⧸2021-vz9u9ZTT1Gw.en.vtt,Dr. Joel Wallach - Ask Doc Live 4⧸23⧸2021,vz9u9ZTT1Gw,High,filename,Wallach named in title,,minerals; diet/nutrition; gluten; bones/joints,107175,20770
Dr. Joel Wallach - Ask Doc Live 5⧸13⧸2022-uN3hW6-72dY.en.vtt,Dr. Joel Wallach - Ask Doc Live 5⧸13⧸2022,uN3hW6-72dY,High,filename,Wallach named in title,,diet/nutrition,99923,19381
Dr. Joel Wallach - Ask Doc Live 7⧸02⧸2021-hOz74QqGzJk.en.vtt,Dr. Joel Wallach - Ask Doc Live 7⧸02⧸2021,hOz74QqGzJk,High,filename,Wallach named in title,,minerals; diet/nutrition,101316,19563
Dr. Joel Wallach - Ask Doc Live 8⧸06⧸2021-G4TD1MdfDhE.en.vtt,Dr. Joel Wallach - Ask Doc Live 8⧸06⧸2021,G4TD1MdfDhE,High,filename,Wallach named in title,,obesity; diet/nutrition,104821,20455
Dr. Joel Wallach - Ask Doc Live 8⧸20⧸2021-R1sELtVZ3BA.en.vtt,Dr. Joel Wallach - Ask Doc Live 8⧸20⧸2021,R1sELtVZ3BA,High,filename,Wallach named in title,,diet/nutrition,106187,20492
Dr. Joel Wallach - Ask Doc Live 9⧸03⧸2021-o927JAY3S6k.en.vtt,Dr. Joel Wallach - Ask Doc Live 9⧸03⧸2021,o927JAY3S6k,High,filename,Wallach named in title,,diet/nutrition,103495,20265
Dr. Joel Wallach - Ask Doc Live 9⧸10⧸2021-GF_e2l9-QVQ.en.vtt,Dr. Joel Wallach - Ask Doc Live 9⧸10⧸2021,GF_e2l9-QVQ,High,filename,Wallach named in title,,obesity; diet/nutrition,105985,20630
Dr. Joel Wallach - Ask Doc Live 9⧸24⧸2021-skCee2SmeYI.en.vtt,Dr. Joel Wallach - Ask Doc Live 9⧸24⧸2021,skCee2SmeYI,High,filename,Wallach named in title,,diabetes; obesity; cardiovascular; diet/nutrition; gluten,102957,19959
Dr. Joel Wallach - Baby Formula & More - Ask Doc Live 5⧸27⧸2022-Yp284bSTj1Y.en.vtt,Dr. Joel Wallach - Baby Formula & More - Ask Doc Live 5⧸27⧸2022,Yp284bSTj1Y,High,filename,Wallach named in title,,bones/joints,101120,19615
"Dr. Joel Wallach - Brain, Cholesterol, Demyelination of Cognitive Diseases  - Daily with Doc 9⧸26⧸23-kKS_0Uj45Ug.en.vtt","Dr. Joel Wallach - Brain, Cholesterol, Demyelination of Cognitive Diseases  - Daily with Doc 9⧸26⧸23",kKS_0Uj45Ug,High,filename,Wallach named in title,,cholesterol; diet/nutrition; brain/cognitive; lecture-flagship,47649,9182
Dr. Joel Wallach - Children Of The World - Ask Doc Live 6⧸03⧸2022-xdpfIo7yRWg.en.vtt,Dr. Joel Wallach - Children Of The World - Ask Doc Live 6⧸03⧸2022,xdpfIo7yRWg,High,filename,Wallach named in title,,diet/nutrition,99885,19164
Dr. Joel Wallach - Cholesterol Deficiencies - Ask Doc Live 12⧸30⧸2022-aqzko6vJqOs.en.vtt,Dr. Joel Wallach - Cholesterol Deficiencies - Ask Doc Live 12⧸30⧸2022,aqzko6vJqOs,High,filename,Wallach named in title,,cholesterol; skin/hair; pregnancy/birth,98109,19016
Dr. Joel Wallach - Chronic Complications Of Gluten Consumption Can Be Deadly- Ask Doc Live 12⧸09⧸22-zVMbEo3sSsU.en.vtt,Dr. Joel Wallach - Chronic Complications Of Gluten Consumption Can Be Deadly- Ask Doc Live 12⧸09⧸22,zVMbEo3sSsU,High,filename,Wallach named in title,,diet/nutrition; gluten; pregnancy/birth,92934,18016
Dr. Joel Wallach - Daily With Doc-HTHrfuFDGhQ.en.vtt,Dr. Joel Wallach - Daily With Doc,HTHrfuFDGhQ,High,filename,Wallach named in title,,diet/nutrition,55623,10663
Dr. Joel Wallach - Dead Doctors Don't Lie - Alzheimers and Cholesterol-xV_bSpaCqP4.en.vtt,Dr. Joel Wallach - Dead Doctors Don't Lie - Alzheimers and Cholesterol,xV_bSpaCqP4,High,filename,Wallach named in title,,selenium; diabetes; obesity; alzheimers; cancer; cardiovascular; cholesterol; diet/nutrition; skin/hair; brain/cognitive; lecture-flagship,2623,474
"Dr. Joel Wallach - Deficiencies and the Brain, Fame won't protect you - Daily with Doc 03-06-2023-v-xE4_w_3sA.en.vtt","Dr. Joel Wallach - Deficiencies and the Brain, Fame won't protect you - Daily with Doc 03-06-2023",v-xE4_w_3sA,High,filename,Wallach named in title,,liver; diet/nutrition; lung/respiratory; brain/cognitive,48716,9412
"Dr. Joel Wallach - EFAs Essential for Healthy Blood, Lungs, and Brain - Daily with Doc 03-29-2023-J0M515yBCmQ.en.vtt","Dr. Joel Wallach - EFAs Essential for Healthy Blood, Lungs, and Brain - Daily with Doc 03-29-2023",J0M515yBCmQ,High,filename,Wallach named in title,,stroke; diet/nutrition; lung/respiratory; skin/hair; brain/cognitive,46643,8956
Dr. Joel Wallach - Epigenetics the science with Hope - Daily with Doc 4⧸27⧸2023-xIw8FtO-smY.en.vtt,Dr. Joel Wallach - Epigenetics the science with Hope - Daily with Doc 4⧸27⧸2023,xIw8FtO-smY,High,filename,Wallach named in title,,diet/nutrition,52050,10051
Dr. Joel Wallach - False expectations of growing old - Daily with Doc 3⧸16⧸2023-EumE5i1Vnl4.en.vtt,Dr. Joel Wallach - False expectations of growing old - Daily with Doc 3⧸16⧸2023,EumE5i1Vnl4,High,filename,Wallach named in title,,minerals; diabetes; arthritis; cardiovascular; diet/nutrition,51569,9924
"Dr. Joel Wallach - Good Circulation, Oxygen, and Nutrients! - Daily with Doc 04⧸07⧸2023-fBH_Hfw6R00.en.vtt","Dr. Joel Wallach - Good Circulation, Oxygen, and Nutrients! - Daily with Doc 04⧸07⧸2023",fBH_Hfw6R00,High,filename,Wallach named in title,,cardiovascular; kidney; cholesterol; gluten; lung/respiratory; longevity,42538,8241
Dr. Joel Wallach - How To Live A Long Life - Ask Doc Live 8⧸05⧸2022-5-UexG0m3ME.en.vtt,Dr. Joel Wallach - How To Live A Long Life - Ask Doc Live 8⧸05⧸2022,5-UexG0m3ME,High,filename,Wallach named in title,,minerals; alzheimers; diet/nutrition; pregnancy/birth,97427,18847
Dr. Joel Wallach - Increasing minerals in plants and why - Daily with Doc and Becca 7⧸31⧸23-z56ef19MC_s.en.vtt,Dr. Joel Wallach - Increasing minerals in plants and why - Daily with Doc and Becca 7⧸31⧸23,z56ef19MC_s,High,filename,Wallach named in title,,minerals; cardiovascular; diet/nutrition,50705,9717
Dr. Joel Wallach - Jesse Medeles' Journey To Health - Ask Doc Live 10⧸28⧸2022-aC2g1_AbjmQ.en.vtt,Dr. Joel Wallach - Jesse Medeles' Journey To Health - Ask Doc Live 10⧸28⧸2022,aC2g1_AbjmQ,High,filename,Wallach named in title,,minerals; diet/nutrition,96864,18940
Dr. Joel Wallach - Lands Without Industry and Doctors - Daily with Doc and Becca  7⧸14⧸23-FralSZgTbew.en.vtt,Dr. Joel Wallach - Lands Without Industry and Doctors - Daily with Doc and Becca  7⧸14⧸23,FralSZgTbew,High,filename,Wallach named in title,,minerals; alzheimers; dementia; cardiovascular; kidney; liver; parkinsons; diet/nutrition; gluten; lung/respiratory; bones/joints; muscles; brain/cognitive,44760,8557
Dr. Joel Wallach - Masking skin issues the unhealthy way - Daily with Doc and Becca 9⧸21⧸23-Xr_g32wjmrY.en.vtt,Dr. Joel Wallach - Masking skin issues the unhealthy way - Daily with Doc and Becca 9⧸21⧸23,Xr_g32wjmrY,High,filename,Wallach named in title,,diet/nutrition; skin/hair,45367,8785
Dr. Joel Wallach - Minerals are where it’s AT - Daily with Doc 03-31-2023-32OQ4liFQI8.en.vtt,Dr. Joel Wallach - Minerals are where it’s AT - Daily with Doc 03-31-2023,32OQ4liFQI8,High,filename,Wallach named in title,,minerals; diet/nutrition,45673,8707
"Dr. Joel Wallach - Nervous system is talking, don’t burn it out - Daily with Doc 9⧸15⧸23 p1-UYeclZLDzBc.en.vtt","Dr. Joel Wallach - Nervous system is talking, don’t burn it out - Daily with Doc 9⧸15⧸23 p1",UYeclZLDzBc,High,filename,Wallach named in title,,cardiovascular,10658,2051
"Dr. Joel Wallach - Nervous system is talking, don’t burn it out - Daily with Doc 9⧸15⧸23 p2-OMbqKMjHvbo.en.vtt","Dr. Joel Wallach - Nervous system is talking, don’t burn it out - Daily with Doc 9⧸15⧸23 p2",OMbqKMjHvbo,High,filename,Wallach named in title,,diabetes; cardiovascular; diet/nutrition; skin/hair; muscles; brain/cognitive; youngevity-product,33707,6546
"Dr. Joel Wallach - Osteoporosis of the Skull effecting knee, the hip and the little finger 5⧸22⧸23-kYFcmKF0wRE.en.vtt","Dr. Joel Wallach - Osteoporosis of the Skull effecting knee, the hip and the little finger 5⧸22⧸23",kYFcmKF0wRE,High,filename,Wallach named in title,,arthritis; osteoporosis; diet/nutrition; youngevity-product,50405,9730
Dr. Joel Wallach - Pet Special - Ask Doc Live 10⧸07⧸2022-qh5sF10VuFs.en.vtt,Dr. Joel Wallach - Pet Special - Ask Doc Live 10⧸07⧸2022,qh5sF10VuFs,High,filename,Wallach named in title,,diet/nutrition,64523,12610
Dr. Joel Wallach - Pet Special - Ask Doc Live 11⧸04⧸2022-Rfk3g_YJBBc.en.vtt,Dr. Joel Wallach - Pet Special - Ask Doc Live 11⧸04⧸2022,Rfk3g_YJBBc,High,filename,Wallach named in title,,thyroid,91699,17763
Dr. Joel Wallach - Pet Special - Ask Doc Live 9⧸02⧸2022-ZNMqScZVKdo.en.vtt,Dr. Joel Wallach - Pet Special - Ask Doc Live 9⧸02⧸2022,ZNMqScZVKdo,High,filename,Wallach named in title,,,92161,18197
Dr. Joel Wallach - Public Enemy No. 1-xtwY-yopnEE.en.vtt,Dr. Joel Wallach - Public Enemy No. 1,xtwY-yopnEE,High,filename,Wallach named in title,,minerals; obesity; diet/nutrition; pregnancy/birth; lecture-flagship,75191,13499
"Dr. Joel Wallach - Skin, hair, and the connective tissue. Daily with Doc and Becca 5⧸15⧸2023-acSF5D0jxw0.en.vtt","Dr. Joel Wallach - Skin, hair, and the connective tissue. Daily with Doc and Becca 5⧸15⧸2023",acSF5D0jxw0,High,filename,Wallach named in title,,skin/hair; youngevity-product,47583,9122
Dr. Joel Wallach - Sweat： more than just water - Daily with Doc 03-28-2023-NlUXFqpxMYc.en.vtt,Dr. Joel Wallach - Sweat： more than just water - Daily with Doc 03-28-2023,NlUXFqpxMYc,High,filename,Wallach named in title,,diet/nutrition,46067,8888
Dr. Joel Wallach - TMJ a variant of Osteoporosis of the Skull - Daily with Doc 03-09-2023-vv7d_CjW-4g.en.vtt,Dr. Joel Wallach - TMJ a variant of Osteoporosis of the Skull - Daily with Doc 03-09-2023,vv7d_CjW-4g,High,filename,Wallach named in title,,osteoporosis; diet/nutrition; bones/joints; muscles; brain/cognitive,45432,8701
Dr. Joel Wallach - Take control to extend your Life Expectancy - Daily with Doc and Becca 6⧸09⧸2023-fGnKMJCDgO4.en.vtt,Dr. Joel Wallach - Take control to extend your Life Expectancy - Daily with Doc and Becca 6⧸09⧸2023,fGnKMJCDgO4,High,filename,Wallach named in title,,diet/nutrition,47656,9172
Dr. Joel Wallach - The Alex Jones Show - Infowars - Mineral Nutrition-MLwB2wIrsZs.en.vtt,Dr. Joel Wallach - The Alex Jones Show - Infowars - Mineral Nutrition,MLwB2wIrsZs,High,filename,Wallach named in title,,minerals; copper; arthritis; diet/nutrition; skin/hair; bones/joints,10136,1947
